candidate_id,opcode,opcode_name,funct3,funct7,rs1,rs2,variable_rd,words_checked,active_decoder_family_overlap_count,selected_generator_family_overlap_count,all_source_generator_family_overlap_count,active_decoder_all_32_rd_safe,selected_generator_all_32_rd_safe,all_source_all_32_rd_safe,status,pattern
,0x5b,custom-2,1,15,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00011110000000000001?????1011011
,0x5b,custom-2,1,16,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00100000000000000001?????1011011
,0x5b,custom-2,1,17,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00100010000000000001?????1011011
,0x5b,custom-2,1,18,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00100100000000000001?????1011011
,0x5b,custom-2,1,19,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00100110000000000001?????1011011
,0x5b,custom-2,1,20,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00101000000000000001?????1011011
,0x5b,custom-2,1,21,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00101010000000000001?????1011011
,0x5b,custom-2,1,22,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00101100000000000001?????1011011
,0x5b,custom-2,1,23,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00101110000000000001?????1011011
,0x5b,custom-2,1,24,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00110000000000000001?????1011011
,0x5b,custom-2,1,25,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00110010000000000001?????1011011
,0x5b,custom-2,1,26,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00110100000000000001?????1011011
,0x5b,custom-2,1,27,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00110110000000000001?????1011011
,0x5b,custom-2,1,28,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00111000000000000001?????1011011
,0x5b,custom-2,1,29,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,00111010000000000001?????1011011
,0x5b,custom-2,1,30,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00111100000000000001?????1011011
,0x5b,custom-2,1,31,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,00111110000000000001?????1011011
,0x5b,custom-2,1,32,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01000000000000000001?????1011011
,0x5b,custom-2,1,33,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01000010000000000001?????1011011
,0x5b,custom-2,1,34,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01000100000000000001?????1011011
,0x5b,custom-2,1,35,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01000110000000000001?????1011011
,0x5b,custom-2,1,36,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01001000000000000001?????1011011
,0x5b,custom-2,1,37,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01001010000000000001?????1011011
,0x5b,custom-2,1,38,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01001100000000000001?????1011011
,0x5b,custom-2,1,39,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01001110000000000001?????1011011
,0x5b,custom-2,1,40,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01010000000000000001?????1011011
,0x5b,custom-2,1,41,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01010010000000000001?????1011011
,0x5b,custom-2,1,42,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01010100000000000001?????1011011
,0x5b,custom-2,1,43,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01010110000000000001?????1011011
,0x5b,custom-2,1,44,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01011000000000000001?????1011011
,0x5b,custom-2,1,45,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,01011010000000000001?????1011011
,0x5b,custom-2,1,46,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,01011100000000000001?????1011011
