instruction_name,source_name,pattern,source_file,source_location,generation_input
VFSGNJ_R_S,vfsgnj.r.s,1001101??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:269,No
VFSGNJN_S,vfsgnjn.s,1001110??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:270,No
VFSGNJN_R_S,vfsgnjn.r.s,1001110??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:271,No
VFSGNJX_S,vfsgnjx.s,1001111??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:272,No
VFSGNJX_R_S,vfsgnjx.r.s,1001111??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:273,No
VFEQ_S,vfeq.s,1010000??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:274,No
VFEQ_R_S,vfeq.r.s,1010000??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:275,No
VFNE_S,vfne.s,1010001??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:276,No
VFNE_R_S,vfne.r.s,1010001??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:277,No
VFLT_S,vflt.s,1010010??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:278,No
VFLT_R_S,vflt.r.s,1010010??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:279,No
VFGE_S,vfge.s,1010011??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:280,No
VFGE_R_S,vfge.r.s,1010011??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:281,No
VFLE_S,vfle.s,1010100??????????000?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:282,No
VFLE_R_S,vfle.r.s,1010100??????????100?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:283,No
