candidate,candidate_pattern,conflicting_instruction,existing_pattern,witness_machine_word,source_kind,source_file,source_location
custom-2_f2_f7_9,00010010000000000010?????1011011,INMSUB,?????01??????????010?????1011011,0x1200205b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:43
custom-2_f2_f7_9,00010010000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x1200205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_10,00010100000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x1400205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_11,00010110000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x1600205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_12,00011000000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x1800205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_13,00011010000000000010?????1011011,INMSUB,?????01??????????010?????1011011,0x1a00205b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:43
custom-2_f2_f7_13,00011010000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x1a00205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_14,00011100000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x1c00205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_15,00011110000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x1e00205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_16,00100000000000000010?????1011011,ISH1ADD,0010000??????????010?????1011011,0x2000205b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:91
custom-2_f2_f7_16,00100000000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x2000205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_17,00100010000000000010?????1011011,INMSUB,?????01??????????010?????1011011,0x2200205b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:43
custom-2_f2_f7_17,00100010000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x2200205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_18,00100100000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x2400205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_19,00100110000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x2600205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
custom-2_f2_f7_20,00101000000000000010?????1011011,P_ADDN,00???????????????010?????1011011,0x2800205b,generator,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-xpulpminmax_CUSTOM:22
